date,currency,trades,notional_usd,premium_usd,put_share_pct,block_trades,source
2026-08-05,BTC,295,24946474,158659,40.3,2,bykaranteli.com
2026-08-05,ETH,177,16717890,172745,45.8,0,bykaranteli.com
2026-08-06,BTC,5356,753981608,8159581,46,74,bykaranteli.com
2026-08-06,ETH,1716,99368125,799195,51.9,8,bykaranteli.com
2026-08-07,BTC,7842,1226599644,17643194,44.4,229,bykaranteli.com
2026-08-07,ETH,2412,263461586,3212050,48.3,45,bykaranteli.com
2026-08-08,BTC,2371,182494998,1169481,49.1,9,bykaranteli.com
2026-08-08,ETH,1111,47306600,357233,50,6,bykaranteli.com
2026-08-09,BTC,2778,265129790,2280161,41.5,22,bykaranteli.com
2026-08-09,ETH,1265,59760313,584323,43.4,5,bykaranteli.com
2026-08-10,BTC,6331,1040420283,14712449,51.9,83,bykaranteli.com
2026-08-10,ETH,2152,164844953,3011912,50.1,5,bykaranteli.com
2026-08-11,BTC,5765,864754447,9713835,37.9,75,bykaranteli.com
2026-08-11,ETH,1586,97358905,1144319,45,18,bykaranteli.com
2026-08-12,BTC,5771,1215524666,12430849,43.1,122,bykaranteli.com
2026-08-12,ETH,1920,118119153,1599787,54.5,16,bykaranteli.com
2026-08-13,BTC,4975,820872031,9076843,43.6,79,bykaranteli.com
2026-08-13,ETH,1684,117464440,1325675,43.2,16,bykaranteli.com
2026-08-14,BTC,6599,1667564033,18978614,50.3,262,bykaranteli.com
2026-08-14,ETH,2087,140485274,1011805,53.6,25,bykaranteli.com
2026-08-15,BTC,2288,239850985,1310104,52.5,31,bykaranteli.com
2026-08-15,ETH,1002,29792536,191491,50.1,0,bykaranteli.com
2026-08-16,BTC,2671,257554973,1501087,47.3,12,bykaranteli.com
2026-08-16,ETH,1070,37989265,426284,43.1,4,bykaranteli.com
2026-08-17,BTC,7451,1207978020,16209912,38.5,106,bykaranteli.com
2026-08-17,ETH,2110,142327529,1838364,42.5,13,bykaranteli.com
2026-08-18,BTC,5341,830785091,11464557,40.2,80,bykaranteli.com
2026-08-18,ETH,1485,93824797,1109394,50,10,bykaranteli.com
2026-08-19,BTC,19004,4418556542,58740071,40.9,261,bykaranteli.com
2026-08-19,ETH,11271,815088110,20812939,45.3,109,bykaranteli.com
2026-08-20,BTC,20889,5790433235,106505343,40.8,459,bykaranteli.com
2026-08-20,ETH,8189,622557496,16423671,45.2,108,bykaranteli.com
2026-08-21,BTC,30350,7170133443,154597603,40.8,454,bykaranteli.com
2026-08-21,ETH,8072,686259522,15623346,46,90,bykaranteli.com
2026-08-22,BTC,6377,916481900,22199065,51.9,48,bykaranteli.com
2026-08-22,ETH,3378,158664839,3167197,50.1,13,bykaranteli.com
2026-08-23,BTC,971,164116525,2584768,49.7,14,bykaranteli.com
2026-08-23,ETH,449,31670852,259913,53.9,5,bykaranteli.com
