date,base_height,base_hash,txoutset_hash,coins_written,exposed_btc,exposed_outputs,exposed_pct_value,utxo_set_btc,watch_set_size,watch_set_btc,classifier_version,source
2026-08-13,962212,000000000000000000004b0d47e50a396a61edff6bad1d8358c45e2f207c6c18,569b5ff7ef54fe0459b2827f0f372ba9e1bbbaef49990cadb025c5ed9ca719a4,165861232,1936281.09637051,56967844,9.648,20069185.50982767,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-13,962221,0000000000000000000014983b3e31b4e0e68eec0bf368daed8f72f726226199,dee8b32311b0c53c012259eb8eb42f086d3d7eaf1ca3f28bcd7d267d327edb0e,165865802,1936223.02374956,56968428,9.6477,20069213.63482767,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-14,962362,000000000000000000000568facb66183a387f2d0733dbd8c925f214df62fb0b,7ef311db0d1d0823943e2b704eea487da53e13316c547ba1f4e27ae0f36058fe,165878991,1936211.9784378,56968850,9.6475,20069654.25982763,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-15,962511,000000000000000000020949b9c1b90a33bc01f4ab1a506bc357127d849f3fbe,e4bd90fee0a6afd161bf0626b01e17c2b4bae50480ea9a7bf3cbe57d3428ead5,165903647,1936337.41208402,56962060,9.6479,20070119.88481754,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-16,962664,00000000000000000000457f29c06bbdc1f0ae8d66d4fe275ee4303de9c882b3,86f30e10b48c4a961e7e22d6a5a85ef43fdd9b0e31e4aa6e8fd06c18db7c06ea,165918651,1936494.05091614,56955953,9.6484,20070598.0097951,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-17,962821,00000000000000000001558d4ef0f8531eb371571881e360581f2d3a86903e7f,3b6900f94038a8d26027def6101dfa9724cf96f84d84490a5ca9255d89e5922e,165898373,1936539.73402653,56946970,9.6484,20071088.63479503,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-18,962974,0000000000000000000095da20e499232082a753cd08a6c301f02c40dbfec6ed,7b50f09c1352b1158c7cc617993ca8d8fa2a65b4fd9f85764b565df6abb0cdf8,165848273,1936600.04416987,56933562,9.6485,20071566.75979494,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-19,963120,0000000000000000000044f7527949bd4b3c75267961f2a9eeb5fca72ab2b988,bc9cc853add03b9359e892613b43c9279145c9919528ca29a1336cb11baed3f5,165831718,1936694.2342471,56913469,9.6487,20072023.00979492,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-20,963244,000000000000000000000d0c7d43d6c532e59844f3d43840492b900d39e12493,bcbb204ee90b9703850f4465073e13aefab28e7050524f9c98d5a8808768d8d0,165833292,1936497.39376039,56913889,9.6476,20072410.50979491,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-21,963379,00000000000000000000c381450e75a307fdfa654ee1453acda6a2d54c724df7,664a420bb22978cea9980f39bd7889aa90d0f55183a7112fa2f5276e24d6fe83,165786230,1936765.04572408,56899778,9.6487,20072832.38477268,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-22,963517,00000000000000000000be1ecdf7ce6401f92de5eb7a8e310798821b43f1ed1a,da169c45937dabfadbd328fc0efa5fbdb555e75fb3ca53e485611eeb81193b17,165744902,1935469.46619606,56897945,9.642,20073263.63473264,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-23,963663,0000000000000000000228246296754a4795f7cb316a57c0d5efbaba0f16e0e4,0aace72d410dc1beb3df05ab629c58e826f2c36cc122f5a91bacdda8a1923547,165725143,1935283.77890639,56886993,9.6409,20073719.88473258,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-24,963796,000000000000000000011f8f96f99bdca80c210ff3d2ca15526846398bbc348e,8af118909c04c6a9dcf7666009893561880540bf363987788e1aa8e3cedb9fa3,165746569,1935033.76453732,56889115,9.6394,20074135.50972614,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-25,963938,00000000000000000001e84a57ed700e07d498558d6e95fc981dd14b5bc0c4f7,8584ac89e756a6ca9936cb0b473518e07d7970fb8639c54880030ff6a1981d94,165715664,1935713.6962889,56887462,9.6426,20074579.25962591,34137,1711613.05507801,qclass_v1_20260813,daily
2026-08-26,964083,00000000000000000000934062e4d6fde02393afbf82dec6d4a8544859568349,761a03273a5b5108c89f3b9d75bf17b257cce1202ce166451b52d898be259284,165728692,1933787.84988218,56891055,9.6328,20075032.38452588,34136,1711563.05507801,qclass_v1_20260813,daily
